asv	TDN_c_mean	NH4_c_mean	lat	NO2_c_mean	NO3.NO2_c_mean	lon	PO4_c_mean	TDP_c_mean	Si.OH.4_c_mean
asv1370	0.36	0.21	0.09	-0.12	-0.18	0.15	0.15	0.24	0.1
asv1372	0.3	0.18	0.08	-0.07	-0.14	0.1	0.12	0.18	0.07
asv1380	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv1382	0.52	0.23	0.24	0.07	-0.14	0.01	0.31	0.39	0.23
asv1399	0.6	0.33	0.3	0.24	-0.05	-0.16	0.23	0.26	0.07
asv1426	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv1450	0.53	0.26	0.24	0.09	-0.13	-0.01	0.28	0.35	0.18
asv1456	0.51	0.2	0.25	0.1	-0.13	-0.01	0.33	0.41	0.25
asv1458	0.67	0.43	0.33	0.32	-0.01	-0.25	0.16	0.17	-0.06
asv1464	0.46	0.17	0.24	0.12	-0.1	-0.03	0.31	0.38	0.25
asv1472	0.51	0.23	0.23	0.05	-0.15	0.03	0.29	0.37	0.22
asv1486	0.48	0.18	0.26	0.15	-0.1	-0.05	0.34	0.4	0.27
asv1487	0.62	0.33	0.3	0.2	-0.08	-0.12	0.26	0.3	0.11
asv1497	0.38	0.1	0.26	0.23	-0.02	-0.13	0.32	0.36	0.26
asv1536	0.65	0.36	0.35	0.35	-0.01	-0.25	0.25	0.26	0.06
asv1546	0.46	0.31	0.24	0.31	0.04	-0.26	0.07	0.06	-0.1
asv1550	0.53	0.36	0.21	0.14	-0.07	-0.1	0.1	0.13	-0.06
asv1553	0.1	-0.15	0.14	0.06	-0.05	0.03	0.36	0.42	0.44
asv1555	0.43	0.15	0.2	0.03	-0.14	0.05	0.31	0.39	0.26
asv1576	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv1587	0.38	0.12	0.16	-0.05	-0.17	0.12	0.3	0.39	0.28
asv1603	0.32	0.13	0.14	0.02	-0.11	0.04	0.2	0.26	0.17
asv1609	0.44	0.26	0.25	0.31	0.04	-0.25	0.13	0.11	-0.02
